iter	Passed	Remaining
0	138	138484
1	139	69790
2	140	46828
3	141	35343
4	142	28451
5	144	23858
6	145	20578
7	146	18123
8	147	16209
9	148	14679
10	149	13423
11	150	12379
12	151	11497
13	152	10741
14	153	10087
15	154	9515
16	155	9008
17	156	8555
18	157	8149
19	158	7785
20	159	7456
21	161	7162
22	162	6887
23	163	6636
24	164	6405
25	165	6192
26	166	5996
27	167	5812
28	168	5641
29	169	5486
30	170	5336
31	171	5196
32	172	5063
33	173	4938
34	174	4822
35	175	4712
36	177	4608
37	178	4511
38	179	4416
39	180	4336
40	181	4252
41	182	4173
42	184	4100
43	185	4026
44	186	3966
45	188	3905
46	189	3852
47	191	3800
48	193	3756
49	194	3699
50	195	3642
51	196	3587
52	197	3534
53	199	3491
54	200	3442
55	201	3394
56	202	3348
57	203	3305
58	204	3262
59	205	3220
60	206	3179
61	207	3141
62	208	3102
63	209	3065
64	210	3029
65	211	2995
66	212	2961
67	213	2923
68	214	2898
69	215	2868
70	216	2838
71	218	2809
72	219	2781
73	220	2753
74	221	2726
75	222	2701
76	223	2675
77	224	2649
78	225	2625
79	226	2600
80	227	2576
81	228	2554
82	229	2532
83	230	2510
84	230	2485
85	232	2465
86	232	2441
87	233	2422
88	234	2403
89	235	2384
90	236	2366
91	237	2347
92	238	2329
93	239	2311
94	240	2294
95	241	2277
96	242	2261
97	243	2244
98	244	2228
99	245	2213
100	246	2198
101	247	2179
102	248	2165
103	249	2150
104	250	2139
105	252	2125
106	253	2111
107	254	2099
108	255	2086
109	256	2074
110	257	2062
111	258	2051
112	259	2039
113	261	2028
114	262	2017
115	263	2004
116	264	1994
117	265	1983
118	266	1971
119	267	1961
120	268	1951
121	269	1941
122	270	1927
123	271	1917
124	272	1907
125	273	1897
126	274	1888
127	275	1876
128	276	1867
129	277	1858
130	278	1848
131	279	1839
132	280	1830
133	281	1820
134	282	1811
135	283	1802
136	284	1793
137	285	1783
138	286	1775
139	287	1767
140	288	1758
141	289	1750
142	290	1742
143	291	1734
144	292	1726
145	293	1718
146	294	1710
147	295	1702
148	296	1695
149	297	1688
150	298	1681
151	300	1673
152	301	1666
153	302	1659
154	303	1652
155	304	1646
156	305	1639
157	306	1633
158	307	1626
159	308	1621
160	310	1616
161	311	1610
162	312	1604
163	313	1597
164	314	1591
165	315	1585
166	316	1579
167	317	1573
168	318	1567
169	319	1561
170	320	1556
171	322	1550
172	323	1545
173	324	1540
174	325	1535
175	326	1530
176	327	1524
177	328	1518
178	329	1512
179	330	1507
180	331	1499
181	332	1494
182	333	1489
183	334	1483
184	335	1478
185	336	1473
186	337	1467
187	338	1462
188	339	1457
189	340	1451
190	341	1446
191	342	1441
192	343	1436
193	344	1431
194	345	1426
195	346	1421
196	347	1417
197	348	1412
198	349	1407
199	350	1402
200	351	1398
201	352	1393
202	353	1388
203	354	1384
204	355	1379
205	356	1375
206	357	1370
207	358	1366
208	359	1361
209	360	1357
210	361	1353
211	362	1349
212	363	1344
213	365	1340
214	366	1336
215	367	1332
216	368	1327
217	368	1323
218	369	1319
219	370	1315
220	371	1311
221	372	1306
222	373	1302
223	374	1298
224	375	1294
225	377	1291
226	378	1287
227	379	1283
228	380	1279
229	381	1276
230	382	1272
231	383	1268
232	384	1264
233	385	1260
234	386	1257
235	387	1253
236	388	1249
237	389	1246
238	390	1242
239	391	1238
240	392	1235
241	393	1231
242	394	1228
243	395	1224
244	396	1221
245	397	1217
246	398	1214
247	399	1210
248	400	1207
249	401	1203
250	402	1200
251	403	1196
252	404	1193
253	405	1190
254	406	1186
255	407	1183
256	408	1180
257	409	1177
258	410	1173
259	411	1170
260	412	1167
261	413	1164
262	414	1161
263	415	1157
264	416	1154
265	417	1151
266	418	1148
267	419	1145
268	420	1142
269	421	1139
270	422	1136
271	423	1133
272	424	1130
273	425	1127
274	426	1124
275	427	1121
276	428	1118
277	429	1115
278	430	1112
279	431	1109
280	432	1106
281	433	1104
282	434	1101
283	435	1098
284	437	1096
285	438	1094
286	439	1091
287	440	1089
288	441	1086
289	442	1083
290	443	1081
291	444	1078
292	445	1076
293	447	1073
294	448	1070
295	449	1068
296	450	1066
297	451	1064
298	453	1062
299	454	1059
300	455	1056
301	456	1054
302	457	1051
303	458	1048
304	459	1046
305	460	1043
306	461	1041
307	462	1038
308	463	1035
309	464	1033
310	465	1030
311	466	1028
312	467	1026
313	468	1023
314	469	1020
315	470	1018
316	471	1015
317	472	1013
318	473	1010
319	474	1008
320	475	1005
321	476	1003
322	477	1000
323	478	998
324	479	995
325	480	993
326	481	991
327	482	988
328	483	986
329	484	983
330	485	981
331	486	979
332	487	976
333	488	974
334	489	972
335	490	969
336	491	967
337	492	965
338	493	962
339	494	960
340	495	958
341	496	956
342	497	953
343	498	951
344	499	949
345	500	946
346	501	944
347	503	942
348	504	940
349	504	937
350	505	935
351	507	933
352	507	931
353	508	928
354	509	926
355	511	924
356	512	922
357	513	920
358	514	917
359	515	915
360	516	913
361	516	911
362	518	909
363	519	906
364	520	904
365	521	903
366	522	901
367	523	898
368	524	896
369	525	895
370	526	893
371	527	891
372	528	889
373	529	887
374	531	885
375	532	882
376	533	880
377	534	878
378	535	876
379	536	874
380	537	872
381	538	870
382	539	868
383	540	866
384	541	864
385	542	862
386	543	860
387	544	858
388	545	856
389	546	854
390	547	852
391	548	850
392	549	848
393	550	846
394	551	844
395	552	842
396	553	840
397	554	838
398	555	837
399	556	835
400	558	833
401	559	831
402	560	829
403	561	828
404	562	826
405	563	824
406	565	823
407	566	821
408	567	819
409	568	817
410	569	815
411	570	813
412	571	811
413	572	810
414	573	808
415	574	806
416	575	804
417	576	802
418	577	800
419	578	798
420	579	797
421	580	795
422	581	793
423	582	791
424	583	789
425	584	787
426	585	785
427	586	784
428	587	782
429	588	780
430	589	778
431	590	776
432	591	774
433	592	773
434	593	771
435	594	769
436	595	767
437	596	765
438	597	764
439	598	762
440	599	760
441	600	758
442	601	756
443	603	755
444	604	753
445	605	751
446	606	749
447	607	748
448	608	746
449	609	744
450	610	742
451	611	741
452	612	739
453	613	737
454	614	735
455	615	734
456	616	732
457	617	730
458	618	729
459	619	727
460	620	725
461	621	723
462	622	722
463	623	720
464	624	718
465	625	716
466	626	715
467	627	713
468	628	711
469	629	710
470	630	708
471	631	706
472	632	705
473	633	703
474	634	701
475	635	700
476	637	698
477	637	696
478	638	695
479	640	693
480	640	691
481	642	689
482	643	688
483	644	686
484	645	685
485	646	683
486	647	681
487	648	680
488	649	678
489	651	677
490	652	676
491	653	674
492	654	673
493	656	672
494	657	670
495	658	669
496	660	668
497	661	666
498	662	665
499	664	664
500	665	662
501	666	661
502	667	659
503	668	658
504	669	656
505	671	655
506	672	653
507	673	652
508	674	650
509	675	649
510	677	647
511	678	646
512	679	645
513	680	643
514	681	641
515	682	640
516	683	638
517	684	637
518	685	635
519	686	633
520	687	632
521	688	630
522	690	629
523	691	627
524	692	626
525	693	624
526	694	623
527	695	621
528	696	619
529	697	618
530	698	616
531	699	615
532	700	613
533	701	612
534	702	610
535	703	608
536	704	607
537	705	605
538	706	604
539	708	603
540	709	601
541	710	600
542	711	598
543	712	597
544	713	595
545	714	594
546	715	592
547	716	590
548	717	589
549	718	587
550	719	586
551	720	584
552	721	583
553	722	581
554	723	580
555	724	578
556	725	577
557	726	575
558	727	574
559	728	572
560	729	571
561	730	569
562	731	568
563	732	566
564	733	565
565	735	563
566	736	562
567	737	560
568	738	559
569	739	557
570	740	556
571	741	554
572	742	553
573	743	551
574	744	549
575	745	548
576	746	547
577	747	545
578	748	544
579	749	542
580	751	541
581	752	540
582	753	538
583	754	537
584	756	536
585	758	535
586	759	534
587	760	532
588	761	531
589	762	530
590	764	528
591	765	527
592	766	526
593	767	524
594	768	523
595	769	521
596	770	520
597	771	518
598	772	517
599	773	515
600	774	514
601	775	512
602	776	511
603	778	510
604	779	508
605	780	507
606	781	505
607	782	504
608	783	502
609	784	501
610	785	499
611	786	498
612	787	497
613	788	495
614	789	494
615	790	492
616	791	491
617	792	490
618	794	488
619	795	487
620	796	486
621	797	484
622	798	483
623	799	481
624	800	480
625	801	479
626	802	477
627	803	476
628	804	474
629	805	473
630	806	471
631	807	470
632	808	468
633	809	467
634	810	466
635	811	464
636	812	463
637	813	461
638	814	460
639	815	458
640	816	457
641	817	456
642	819	454
643	820	453
644	821	451
645	822	450
646	823	449
647	824	447
648	825	446
649	826	444
650	827	443
651	828	442
652	829	440
653	830	439
654	831	437
655	832	436
656	833	435
657	834	433
658	835	432
659	836	431
660	838	429
661	839	428
662	841	427
663	842	426
664	843	424
665	844	423
666	845	422
667	846	420
668	847	419
669	848	417
670	849	416
671	850	415
672	851	413
673	852	412
674	853	411
675	854	409
676	855	408
677	857	407
678	858	405
679	858	404
680	860	402
681	861	401
682	862	400
683	863	398
684	864	397
685	864	395
686	865	394
687	866	393
688	867	391
689	869	390
690	870	389
691	871	387
692	872	386
693	873	385
694	874	383
695	875	382
696	876	380
697	877	379
698	878	378
699	879	376
700	880	375
701	881	374
702	882	372
703	883	371
704	884	370
705	885	368
706	886	367
707	887	365
708	888	364
709	889	363
710	890	361
711	891	360
712	892	359
713	893	357
714	894	356
715	895	355
716	896	353
717	897	352
718	898	351
719	899	349
720	900	348
721	901	347
722	902	345
723	903	344
724	905	343
725	906	341
726	907	340
727	908	339
728	909	337
729	910	336
730	911	335
731	912	334
732	913	332
733	914	331
734	915	330
735	917	329
736	918	327
737	919	326
738	920	325
739	921	323
740	922	322
741	923	321
742	924	319
743	925	318
744	926	317
745	927	315
746	928	314
747	929	313
748	931	312
749	932	310
750	933	309
751	934	308
752	935	306
753	936	305
754	937	304
755	938	302
756	939	301
757	940	300
758	941	298
759	942	297
760	943	296
761	944	295
762	945	293
763	946	292
764	947	291
765	948	289
766	949	288
767	950	287
768	951	285
769	952	284
770	953	283
771	954	281
772	955	280
773	956	279
774	957	278
775	958	276
776	960	275
777	961	274
778	962	272
779	963	271
780	964	270
781	965	269
782	966	267
783	967	266
784	968	265
785	969	263
786	970	262
787	971	261
788	972	259
789	973	258
790	974	257
791	975	256
792	976	254
793	977	253
794	978	252
795	979	251
796	980	249
797	981	248
798	982	247
799	983	245
800	984	244
801	985	243
802	986	242
803	987	240
804	988	239
805	989	238
806	990	236
807	991	235
808	992	234
809	993	233
810	994	231
811	995	230
812	996	229
813	997	227
814	998	226
815	999	225
816	1000	224
817	1001	222
818	1003	221
819	1004	220
820	1005	219
821	1006	217
822	1007	216
823	1008	215
824	1009	214
825	1010	212
826	1011	211
827	1012	210
828	1013	208
829	1014	207
830	1015	206
831	1016	205
832	1017	204
833	1018	202
834	1019	201
835	1020	200
836	1021	199
837	1022	197
838	1023	196
839	1024	195
840	1025	193
841	1026	192
842	1027	191
843	1028	190
844	1030	188
845	1031	187
846	1032	186
847	1033	185
848	1034	184
849	1035	182
850	1036	181
851	1037	180
852	1038	179
853	1039	177
854	1040	176
855	1042	175
856	1043	174
857	1044	172
858	1045	171
859	1046	170
860	1047	169
861	1048	167
862	1049	166
863	1050	165
864	1051	164
