iter	Passed	Remaining
0	142	141982
1	143	71769
2	145	48348
3	147	36618
4	148	29590
5	150	24902
6	152	21618
7	154	19149
8	156	17226
9	158	15650
10	160	14474
11	162	13410
12	164	12490
13	166	11702
14	167	11022
15	169	10425
16	171	9912
17	173	9449
18	175	9069
19	177	8685
20	178	8340
21	180	8025
22	182	7744
23	183	7480
24	185	7239
25	187	7013
26	189	6838
27	191	6649
28	193	6467
29	194	6296
30	196	6143
31	198	5992
32	199	5852
33	201	5734
34	204	5633
35	206	5517
36	207	5402
37	209	5296
38	210	5195
39	212	5099
40	214	5007
41	216	4928
42	218	4865
43	220	4783
44	221	4705
45	223	4634
46	225	4563
47	226	4493
48	228	4428
49	229	4365
50	232	4332
51	234	4276
52	236	4222
53	237	4167
54	239	4115
55	241	4064
56	242	4017
57	248	4031
58	250	3996
59	252	3959
60	254	3923
61	257	3893
62	259	3861
63	262	3835
64	264	3804
65	266	3766
66	267	3729
67	269	3692
68	270	3655
69	272	3620
70	274	3587
71	276	3569
72	279	3545
73	280	3513
74	282	3482
75	283	3451
76	285	3422
77	287	3394
78	288	3365
79	290	3343
80	293	3333
81	295	3308
82	296	3275
83	297	3249
84	299	3224
85	301	3200
86	302	3177
87	304	3154
88	308	3161
89	310	3138
90	311	3116
91	313	3094
92	315	3073
93	316	3053
94	318	3033
95	320	3014
96	323	3007
97	324	2990
98	326	2970
99	328	2952
100	329	2933
101	331	2915
102	332	2899
103	334	2882
104	337	2877
105	339	2862
106	341	2848
107	343	2832
108	344	2817
109	346	2803
110	350	2805
111	353	2799
112	355	2786
113	356	2771
114	358	2756
115	359	2741
116	360	2723
117	362	2709
118	364	2696
119	365	2682
120	368	2677
121	370	2663
122	371	2650
123	373	2637
124	374	2624
125	376	2612
126	377	2598
127	379	2586
128	381	2577
129	383	2569
130	385	2557
131	387	2545
132	388	2533
133	390	2521
134	391	2510
135	393	2499
136	395	2488
137	397	2485
138	399	2476
139	401	2465
140	402	2454
141	404	2441
142	405	2430
143	407	2421
144	408	2411
145	410	2401
146	413	2398
147	415	2390
148	416	2380
149	418	2371
150	420	2362
151	421	2353
152	423	2343
153	424	2334
154	427	2333
155	430	2326
156	431	2317
157	433	2309
158	435	2301
159	436	2292
160	437	2281
161	439	2272
162	441	2266
163	446	2273
164	447	2266
165	449	2258
166	451	2251
167	453	2246
168	456	2242
169	458	2240
170	460	2233
171	462	2225
172	463	2217
173	465	2210
174	467	2202
175	468	2194
176	470	2186
177	473	2186
178	475	2180
179	477	2173
180	478	2165
181	480	2157
182	481	2150
183	483	2142
184	484	2135
185	486	2129
186	489	2126
187	491	2120
188	492	2114
189	494	2107
190	495	2100
191	497	2093
192	499	2086
193	501	2081
194	504	2082
195	506	2077
196	508	2072
197	510	2067
198	517	2082
199	519	2079
200	522	2075
201	524	2072
202	527	2069
203	529	2064
204	531	2059
205	533	2056
206	535	2050
207	537	2045
208	539	2040
209	541	2036
210	543	2030
211	544	2025
212	548	2025
213	550	2022
214	553	2019
215	555	2015
216	557	2012
217	559	2007
218	564	2011
219	566	2009
220	569	2006
221	571	2002
222	575	2006
223	579	2008
224	582	2004
225	584	2001
226	586	1997
227	588	1993
228	591	1991
229	594	1989
230	596	1984
231	597	1979
232	603	1985
233	606	1985
234	608	1982
235	614	1988
236	616	1983
237	618	1980
238	625	1992
239	628	1989
240	630	1985
241	633	1984
242	639	1991
243	641	1986
244	643	1983
245	645	1977
246	646	1972
247	648	1966
248	650	1960
249	652	1956
250	653	1951
251	655	1946
252	657	1941
253	659	1936
254	660	1930
255	662	1925
256	666	1928
257	668	1923
258	670	1919
259	672	1913
260	673	1908
261	675	1903
262	677	1897
263	680	1895
264	681	1890
265	683	1885
266	685	1881
267	687	1876
268	688	1871
269	690	1866
270	694	1869
271	696	1864
272	698	1859
273	700	1855
274	702	1850
275	703	1845
276	705	1840
277	709	1843
278	711	1838
279	713	1833
280	714	1828
281	716	1823
282	719	1822
283	720	1817
284	725	1819
285	727	1815
286	729	1812
287	731	1808
288	733	1805
289	735	1801
290	740	1804
291	742	1800
292	744	1796
293	746	1791
294	747	1787
295	749	1783
296	751	1779
297	756	1780
298	758	1777
299	759	1773
300	761	1768
301	763	1763
302	764	1759
303	766	1754
304	769	1752
305	771	1748
306	772	1744
307	774	1739
308	775	1735
309	777	1730
310	779	1726
311	780	1721
312	782	1717
313	785	1716
314	787	1712
315	789	1708
316	790	1703
317	792	1699
318	793	1694
319	795	1690
320	797	1686
321	800	1685
322	802	1681
323	804	1677
324	805	1673
325	807	1669
326	808	1664
327	810	1660
328	812	1656
329	815	1656
330	817	1652
331	819	1648
332	821	1644
333	826	1647
334	827	1643
335	831	1643
336	833	1639
337	834	1635
338	836	1631
339	838	1627
340	839	1622
341	841	1618
342	842	1614
343	847	1615
344	848	1611
345	850	1607
346	852	1603
347	853	1599
348	855	1595
349	856	1591
350	859	1590
351	861	1586
352	863	1582
353	864	1578
354	866	1574
355	868	1570
356	869	1566
357	871	1562
358	873	1558
359	876	1558
360	878	1555
361	880	1551
362	881	1547
363	883	1543
364	885	1539
365	887	1537
366	892	1540
367	895	1537
368	897	1533
369	898	1530
370	900	1527
371	903	1525
372	907	1525
373	910	1523
374	912	1520
375	914	1517
376	916	1515
377	923	1520
378	925	1516
379	927	1512
380	928	1508
381	930	1504
382	931	1501
383	933	1497
384	937	1497
385	939	1493
386	940	1489
387	942	1486
388	943	1482
389	945	1478
